category,servings,preparation_age_minutes,pickup_window_minutes,packaging_score,priority
Snacks,59,393,328,5,Medium
Snacks,91,345,530,1,Medium
Cooked Meal,54,302,476,5,Medium
Snacks,104,7,175,5,Medium
Snacks,245,430,468,1,Medium
Packaged Food,183,143,547,4,Medium
Cooked Meal,14,281,227,2,High
Vegetables,36,33,34,4,Medium
Snacks,188,217,468,1,Medium
Packaged Food,105,148,363,2,Medium
Dairy,43,25,518,4,Low
Fruits,33,458,74,5,Medium
Dairy,95,55,705,5,Medium
Bakery,162,33,168,5,Medium
Dairy,57,146,166,4,Medium
Packaged Food,95,449,207,5,Medium
Vegetables,141,409,341,4,Medium
Dairy,166,40,298,5,Medium
Packaged Food,248,364,326,1,Medium
Snacks,248,94,435,2,Medium
Vegetables,130,260,515,1,High
Vegetables,45,221,425,4,Medium
Cooked Meal,43,427,308,5,Medium
Snacks,242,170,319,5,Medium
Vegetables,154,270,641,5,Medium
Packaged Food,171,413,576,5,Medium
Cooked Meal,23,182,638,5,Medium
Packaged Food,84,423,294,4,Medium
Fruits,178,375,614,4,Medium
Snacks,204,313,701,4,Medium
Vegetables,116,289,107,4,Medium
Fruits,20,460,258,2,Medium
Bakery,84,13,55,5,Medium
Bakery,114,27,319,1,Medium
Vegetables,149,191,647,4,Medium
Bakery,141,413,236,4,Medium
Snacks,115,279,388,1,Medium
Vegetables,210,402,639,4,Medium
Packaged Food,245,330,223,5,Medium
Vegetables,87,14,290,4,Low
Dairy,202,192,470,5,Medium
Packaged Food,14,231,91,5,Medium
Cooked Meal,143,390,645,2,High
Packaged Food,148,474,375,2,Medium
Cooked Meal,235,451,344,4,Medium
Snacks,96,273,260,5,Medium
Packaged Food,124,285,288,2,Medium
Cooked Meal,101,466,124,4,High
Dairy,153,113,269,2,High
Vegetables,34,197,470,5,Medium
Packaged Food,29,35,410,5,Low
Dairy,201,436,269,5,Medium
Vegetables,202,283,165,1,High
Snacks,69,456,435,5,Medium
Fruits,43,6,83,4,Medium
Dairy,125,375,509,5,Medium
Vegetables,120,461,67,2,High
Bakery,126,76,159,5,Medium
Fruits,114,254,578,2,High
Dairy,157,446,471,5,Medium
Fruits,199,275,505,4,Medium
Packaged Food,221,142,317,4,Medium
Bakery,107,282,236,2,High
Bakery,11,131,294,4,Low
Cooked Meal,184,238,415,4,Medium
Bakery,122,408,484,2,High
Packaged Food,60,203,421,5,Medium
Dairy,65,330,44,1,High
Packaged Food,235,58,706,1,Medium
Cooked Meal,203,339,279,4,Medium
Vegetables,84,351,353,5,Medium
Packaged Food,67,115,362,4,Low
Snacks,164,449,117,5,Medium
Dairy,103,112,526,5,Medium
Snacks,159,155,370,5,Medium
Bakery,213,70,711,5,Medium
Cooked Meal,71,200,266,4,Medium
Snacks,195,147,104,5,Medium
Fruits,195,135,97,5,Medium
Cooked Meal,93,302,199,4,Medium
Cooked Meal,221,144,175,4,Medium
Snacks,27,419,413,2,Medium
Vegetables,60,159,659,5,Medium
Dairy,83,326,225,2,High
Bakery,143,130,153,2,High
Cooked Meal,80,472,113,5,Medium
Dairy,59,421,400,5,Medium
Bakery,109,374,50,4,High
Packaged Food,224,377,351,4,Medium
Fruits,102,435,110,5,Medium
Cooked Meal,230,282,514,5,Medium
Snacks,163,149,74,5,Medium
Bakery,177,258,226,5,Medium
Cooked Meal,18,13,492,5,Low
Snacks,242,457,140,5,Medium
Bakery,49,139,695,4,Low
Bakery,182,463,71,4,High
Snacks,84,153,438,5,Low
Bakery,86,450,572,5,Medium
Snacks,89,461,381,4,Medium
Dairy,146,117,36,2,High
Packaged Food,50,466,48,1,High
Cooked Meal,243,22,216,5,Medium
Bakery,241,448,482,2,High
Snacks,203,38,44,4,Medium
Cooked Meal,31,480,243,2,Medium
Bakery,156,76,72,4,High
Bakery,169,270,72,2,High
Cooked Meal,206,459,163,4,High
Snacks,93,240,636,4,Medium
Bakery,97,126,345,4,Medium
Snacks,54,236,428,5,Medium
Snacks,115,152,337,2,Medium
Packaged Food,14,470,375,2,Medium
Packaged Food,21,75,629,4,Low
Snacks,14,35,103,5,Low
Bakery,27,437,438,4,Medium
Vegetables,66,391,473,5,Medium
Fruits,152,155,423,1,Medium
Dairy,155,180,625,1,High
Vegetables,206,389,72,1,High
Snacks,16,294,546,5,Low
Bakery,210,341,415,2,High
Bakery,208,253,517,5,Medium
Vegetables,210,353,331,5,Medium
Bakery,146,383,307,4,Medium
Dairy,138,175,702,5,Medium
Snacks,240,67,507,1,Medium
Snacks,86,232,179,2,Medium
Vegetables,248,75,446,4,Medium
Fruits,155,37,704,5,Medium
Fruits,145,90,90,2,High
Fruits,246,480,101,4,Medium
Dairy,133,143,131,5,Medium
Snacks,241,66,259,4,Medium
Packaged Food,135,71,701,4,Medium
Dairy,179,394,113,4,High
Dairy,153,325,301,5,Medium
Snacks,44,209,68,2,High
Bakery,136,447,117,4,Medium
Bakery,106,434,713,1,High
Snacks,44,302,280,5,Low
Cooked Meal,239,190,654,1,High
Packaged Food,177,188,326,4,Medium
Fruits,45,336,603,5,Medium
Cooked Meal,26,200,335,5,Medium
Fruits,33,163,405,2,Medium
Fruits,95,28,232,5,Medium
Packaged Food,191,417,189,4,Medium
Packaged Food,36,346,524,5,Low
Cooked Meal,15,414,94,2,High
Bakery,234,171,172,5,Medium
Vegetables,65,346,477,5,Medium
Bakery,128,231,717,2,High
Snacks,51,17,90,4,Medium
Packaged Food,139,7,368,5,Low
Bakery,26,347,441,4,Medium
Vegetables,28,408,187,2,Medium
Cooked Meal,134,415,93,4,High
Bakery,237,406,316,2,High
Dairy,142,432,532,4,Medium
Bakery,78,75,598,5,Medium
Bakery,18,79,207,5,Medium
Cooked Meal,48,106,456,4,Medium
Vegetables,118,13,294,4,Medium
Fruits,101,148,698,5,Medium
Bakery,192,200,176,5,Medium
Dairy,111,49,689,1,Medium
Packaged Food,22,341,281,4,Low
Dairy,130,11,605,4,Medium
Dairy,239,323,465,1,High
Fruits,238,23,565,5,Medium
Vegetables,194,202,347,4,Medium
Dairy,75,37,610,2,Medium
Vegetables,121,332,415,2,High
Bakery,57,23,46,4,Medium
Fruits,88,213,642,5,Medium
Cooked Meal,137,118,338,4,Medium
Bakery,85,75,302,1,Medium
Snacks,114,270,452,4,Medium
Bakery,202,438,238,5,Medium
Snacks,130,22,654,1,Medium
Cooked Meal,100,33,686,5,Medium
Cooked Meal,95,323,455,5,Medium
Vegetables,242,108,536,5,Medium
Packaged Food,114,190,527,5,Medium
Snacks,128,147,543,2,Medium
Dairy,93,249,709,2,High
Snacks,118,363,432,4,Medium
Packaged Food,78,122,438,5,Low
Bakery,165,181,331,4,Medium
Cooked Meal,106,254,275,5,Medium
Snacks,127,248,492,4,Medium
Bakery,74,299,119,1,High
Packaged Food,49,255,467,4,Low
Packaged Food,117,128,69,5,Medium
Cooked Meal,135,134,272,4,Medium
Vegetables,106,399,331,5,Medium
Cooked Meal,131,237,80,2,High
Dairy,37,134,227,4,Medium
Fruits,224,13,106,4,Medium
Vegetables,52,23,224,5,Medium
Bakery,96,457,271,4,Medium
Packaged Food,73,98,122,2,Medium
Bakery,101,249,339,5,Medium
Packaged Food,202,192,107,5,Medium
Vegetables,185,169,147,5,Medium
Snacks,56,30,57,4,Medium
Snacks,85,180,156,5,Medium
Packaged Food,193,360,710,4,Medium
Bakery,84,449,598,4,Medium
Bakery,131,290,342,5,Medium
Packaged Food,171,40,702,4,Low
Bakery,216,129,57,5,High
Cooked Meal,54,167,502,4,Medium
Fruits,229,451,139,2,High
Fruits,207,232,260,4,Medium
Fruits,31,24,270,1,Medium
Vegetables,99,95,425,4,Medium
Bakery,118,222,322,1,High
Snacks,80,198,353,5,Medium
Dairy,77,272,392,4,Medium
Dairy,16,6,717,4,Low
Bakery,124,91,693,1,Medium
Fruits,174,113,154,5,Medium
Vegetables,145,59,626,5,Medium
Cooked Meal,66,244,632,5,Medium
Dairy,146,413,296,2,High
Snacks,230,361,57,5,High
Dairy,139,298,433,5,Medium
Bakery,14,127,561,1,Medium
Cooked Meal,34,318,507,4,Medium
Packaged Food,56,381,203,2,Medium
Vegetables,112,157,405,4,Medium
Cooked Meal,50,250,469,2,High
Dairy,124,296,335,5,Medium
Vegetables,215,394,102,4,Medium
Bakery,222,285,603,5,Medium
Dairy,189,389,460,5,Medium
Cooked Meal,87,328,546,4,Medium
Snacks,190,85,207,5,Medium
Vegetables,158,411,427,4,Medium
Packaged Food,94,477,553,4,Medium
Fruits,60,108,90,4,Medium
Cooked Meal,10,119,153,5,Medium
Fruits,29,35,517,2,Medium
Packaged Food,206,213,88,4,High
Snacks,236,11,324,1,Medium
Cooked Meal,92,301,101,5,Medium
Packaged Food,185,49,244,1,Medium
Fruits,22,478,512,5,Medium
Snacks,129,399,682,2,Medium
Snacks,150,308,718,5,Medium
Packaged Food,91,337,436,5,Medium
Dairy,136,209,124,5,High
Snacks,202,429,425,4,Medium
Cooked Meal,172,242,418,5,Medium
Dairy,190,174,235,4,Medium
Snacks,52,183,451,5,Medium
Snacks,131,246,702,5,Medium
Vegetables,30,212,366,5,Medium
Packaged Food,76,477,262,1,Medium
Snacks,223,458,652,4,Medium
Vegetables,48,328,91,2,Medium
Vegetables,43,291,421,5,Medium
Bakery,45,241,624,2,Medium
Packaged Food,160,373,653,1,Medium
Bakery,111,280,694,5,Medium
Fruits,132,109,330,4,Medium
Bakery,16,219,473,5,Medium
Vegetables,221,85,508,4,Medium
Packaged Food,17,156,250,4,Low
Bakery,50,270,249,5,Medium
Cooked Meal,117,127,224,4,Medium
Bakery,47,135,522,5,Low
Bakery,18,417,494,2,Medium
Packaged Food,50,355,611,5,Medium
Snacks,47,156,403,5,Low
Snacks,193,284,298,4,Medium
Dairy,79,133,95,2,High
Dairy,168,66,641,4,Medium
Snacks,192,310,450,2,Medium
Bakery,154,11,32,5,Medium
Packaged Food,64,352,336,5,Medium
Fruits,61,231,466,5,Medium
Vegetables,93,252,634,1,Medium
Bakery,170,131,627,4,Medium
Vegetables,232,51,431,2,Medium
Bakery,220,363,37,4,High
Vegetables,104,11,339,1,Medium
Packaged Food,85,205,143,4,Medium
Vegetables,244,105,99,5,Medium
Vegetables,47,459,270,4,Medium
Bakery,225,428,640,1,High
Packaged Food,221,360,187,2,High
Dairy,105,61,551,5,Medium
Fruits,103,294,583,2,High
Bakery,191,401,192,5,Medium
Fruits,171,347,102,5,Medium
Vegetables,28,257,591,5,Medium
Dairy,110,75,125,1,High
Snacks,49,317,666,5,Low
Fruits,204,191,225,5,Medium
Fruits,196,128,212,4,Medium
Packaged Food,70,324,500,5,Medium
Cooked Meal,214,372,690,5,Medium
Bakery,36,478,439,4,Medium
Cooked Meal,17,104,408,5,Medium
Dairy,207,135,180,2,High
Bakery,84,212,643,4,Medium
Bakery,168,348,616,1,High
Fruits,208,362,130,5,Medium
Cooked Meal,118,388,128,2,High
Bakery,87,235,516,5,Medium
Snacks,212,19,93,5,Medium
Vegetables,64,313,677,2,Medium
Bakery,212,330,605,5,Medium
Vegetables,55,75,323,1,Medium
Vegetables,52,85,586,5,Medium
Vegetables,26,360,240,5,Medium
Snacks,155,197,577,2,Medium
Bakery,205,423,174,2,High
Packaged Food,213,40,116,5,Medium
Vegetables,49,461,360,5,Medium
Dairy,14,219,142,4,Medium
Snacks,190,248,431,4,Medium
Snacks,42,169,276,5,Low
Bakery,218,204,543,2,High
Packaged Food,156,141,636,5,Medium
Fruits,101,391,293,5,Medium
Vegetables,143,343,223,5,Medium
Vegetables,30,194,442,2,Medium
Bakery,188,30,688,5,Medium
Vegetables,79,350,548,4,Medium
Dairy,50,374,396,4,Medium
Dairy,137,451,49,4,High
Vegetables,123,283,502,5,Medium
Cooked Meal,219,86,65,4,High
Cooked Meal,123,365,195,4,High
Dairy,182,247,331,4,Medium
Fruits,203,332,520,5,Medium
Vegetables,60,71,686,5,Medium
Snacks,48,121,206,5,Low
Packaged Food,82,171,527,2,Medium
Snacks,240,118,681,5,Medium
Cooked Meal,194,300,462,4,Medium
Cooked Meal,156,198,181,2,High
Dairy,202,81,200,5,Medium
Snacks,67,291,199,1,Medium
Vegetables,15,330,336,5,Medium
Snacks,218,45,532,1,Medium
Snacks,82,394,254,4,Medium
Snacks,87,428,463,2,Medium
Dairy,208,404,343,2,High
Fruits,249,158,365,2,Medium
Cooked Meal,182,151,159,5,Medium
Dairy,168,387,159,5,High
Packaged Food,18,392,111,2,Medium
Fruits,67,395,277,5,Medium
Dairy,213,53,438,5,Medium
Dairy,88,107,59,5,High
Snacks,206,111,323,1,Medium
Bakery,193,426,638,5,Medium
Snacks,211,420,581,4,Medium
Dairy,71,416,322,4,Medium
Vegetables,116,50,537,5,Medium
Dairy,92,11,292,5,Medium
Dairy,132,144,635,5,Medium
Packaged Food,42,7,377,1,Low
Snacks,132,70,636,5,Medium
Vegetables,175,304,493,5,Medium
Bakery,196,233,567,4,Medium
Bakery,56,249,587,5,Medium
Vegetables,94,476,486,4,Medium
Dairy,180,408,539,1,High
Packaged Food,61,445,83,4,Medium
Vegetables,129,136,123,5,Medium
Cooked Meal,33,25,150,5,Medium
Snacks,221,81,112,4,Medium
Fruits,51,164,54,4,Medium
Snacks,109,246,403,1,Medium
Packaged Food,29,432,501,4,Low
Cooked Meal,207,179,77,5,High
Packaged Food,145,255,708,1,Medium
Vegetables,142,88,640,5,Medium
Vegetables,12,119,186,4,Medium
Dairy,150,41,206,5,Medium
Vegetables,204,460,143,5,Medium
Fruits,175,44,166,5,Medium
Packaged Food,13,244,507,5,Low
Vegetables,63,420,577,4,Medium
Snacks,133,310,307,1,Medium
Bakery,91,460,607,5,Medium
Fruits,142,352,346,4,Medium
Cooked Meal,233,318,483,5,Medium
Fruits,232,252,456,5,Medium
Cooked Meal,81,116,636,5,Medium
Vegetables,56,47,157,5,Medium
Vegetables,17,386,396,2,Medium
Bakery,204,196,161,4,Medium
Cooked Meal,108,395,709,5,Medium
Bakery,220,213,78,5,High
Cooked Meal,140,222,297,5,Medium
Snacks,49,250,254,4,Low
Fruits,18,271,71,5,Medium
Snacks,159,13,593,4,Low
Dairy,10,307,712,4,Medium
Cooked Meal,91,118,655,5,Medium
Vegetables,205,479,591,1,High
Snacks,152,152,205,4,Medium
Bakery,209,301,512,4,Medium
Dairy,144,282,175,5,High
Cooked Meal,163,295,406,5,Medium
Bakery,227,455,648,1,High
Dairy,96,28,217,4,Medium
Dairy,55,139,695,2,Medium
Packaged Food,166,95,487,1,Medium
Dairy,92,338,457,2,High
Cooked Meal,111,407,719,5,Medium
Cooked Meal,68,445,540,5,Medium
Vegetables,184,405,689,5,Medium
Vegetables,81,223,220,4,Medium
Packaged Food,50,264,520,5,Medium
Cooked Meal,81,261,388,4,Medium
Bakery,31,286,270,1,Medium
Fruits,98,375,696,5,Medium
Cooked Meal,122,71,126,4,Medium
Dairy,112,357,498,2,High
Dairy,156,258,121,4,High
Snacks,179,206,675,5,Medium
Cooked Meal,202,333,359,2,High
Vegetables,77,468,320,2,Medium
Packaged Food,104,336,49,2,High
Bakery,141,27,424,5,Medium
Bakery,24,5,496,5,Low
Snacks,24,214,563,5,Low
Cooked Meal,114,156,686,5,Medium
Snacks,97,243,213,4,Medium
Bakery,97,263,344,5,Medium
Vegetables,238,240,390,5,Medium
Packaged Food,233,326,311,1,Medium
Snacks,44,289,359,1,Medium
Snacks,129,265,451,5,Medium
Packaged Food,86,74,185,1,Medium
Dairy,169,103,421,2,High
Bakery,214,431,641,2,High
Bakery,179,52,504,5,Medium
Dairy,119,279,32,2,High
Bakery,247,296,554,4,Medium
Packaged Food,222,310,633,4,Medium
Vegetables,174,80,159,5,Medium
Snacks,183,185,472,4,Medium
Dairy,180,246,209,5,High
Vegetables,111,42,188,5,Medium
Fruits,27,438,419,5,Medium
Cooked Meal,13,230,95,4,Medium
Bakery,12,443,99,5,Medium
Fruits,190,215,61,2,High
Dairy,11,29,201,4,Medium
Packaged Food,51,392,197,4,Medium
Packaged Food,96,460,161,2,Medium
Fruits,244,375,106,4,Medium
Bakery,113,373,618,5,Medium
Snacks,22,321,44,4,Medium
Snacks,26,71,569,5,Low
Bakery,15,119,184,2,Medium
Dairy,47,101,273,5,Medium
Fruits,161,282,57,5,High
Vegetables,57,190,239,4,Medium
Bakery,107,165,587,2,Medium
Cooked Meal,33,292,32,4,High
Dairy,223,28,221,4,Medium
Cooked Meal,33,220,689,1,Medium
Cooked Meal,20,425,637,2,Medium
Dairy,145,36,407,5,Medium
Snacks,108,458,80,4,High
Vegetables,225,179,376,4,Medium
Vegetables,227,347,498,4,Medium
Fruits,96,185,303,1,Medium
Bakery,132,361,541,5,Medium
Fruits,214,218,381,4,Medium
Packaged Food,248,370,520,5,Medium
Packaged Food,49,47,326,1,Low
Vegetables,27,280,438,5,Medium
Bakery,26,121,686,5,Low
Snacks,69,423,315,2,Medium
Vegetables,66,453,548,4,Medium
Dairy,211,83,112,5,Medium
Bakery,109,269,112,1,High
Fruits,164,75,241,1,Medium
Snacks,125,296,479,5,Medium
Dairy,27,346,264,5,Medium
Vegetables,194,233,478,5,Medium
Packaged Food,204,422,129,5,Medium
Cooked Meal,22,240,451,5,Medium
Fruits,71,453,463,4,Medium
Vegetables,10,273,291,2,Medium
Packaged Food,32,99,73,2,Medium
Dairy,122,7,606,2,Medium
Bakery,179,364,533,5,Medium
Cooked Meal,228,15,698,1,Medium
Snacks,127,214,340,5,Medium
Cooked Meal,248,450,178,4,High
Packaged Food,78,332,60,4,Medium
Fruits,29,105,555,4,Low
Cooked Meal,161,181,690,4,Medium
Bakery,229,383,249,4,Medium
Packaged Food,217,224,247,4,Medium
Dairy,181,329,622,5,Medium
Packaged Food,85,275,689,1,Medium
Packaged Food,83,191,294,5,Medium
Dairy,101,177,81,1,High
Bakery,209,465,496,5,Medium
Vegetables,216,121,360,1,Medium
Fruits,116,197,593,4,Medium
Fruits,58,344,99,5,Medium
Cooked Meal,61,401,551,4,Medium
Dairy,56,101,464,4,Medium
Fruits,79,317,78,5,High
Dairy,208,185,127,5,High
Fruits,41,217,131,2,Medium
Bakery,111,160,290,5,Medium
Snacks,110,226,36,4,High
Dairy,190,45,658,1,Medium
Vegetables,75,209,628,5,Medium
Snacks,148,200,565,5,Medium
Dairy,77,324,565,1,High
Cooked Meal,172,379,464,2,High
Vegetables,131,399,527,2,High
Fruits,93,111,36,1,High
Snacks,145,40,504,5,Low
Cooked Meal,169,63,341,4,Medium
Snacks,42,162,344,2,Medium
Vegetables,77,204,435,2,Medium
Cooked Meal,112,82,597,4,Medium
Cooked Meal,174,453,240,4,High
Bakery,97,426,85,2,High
Cooked Meal,78,181,151,5,Medium
Bakery,172,395,186,5,Medium
Fruits,219,465,482,5,Medium
Bakery,29,153,687,1,Medium
Dairy,239,358,122,4,High
Fruits,127,80,452,4,Medium
Snacks,19,342,475,5,Low
Snacks,180,299,582,5,Medium
Dairy,68,20,423,4,Medium
Packaged Food,121,285,271,1,Medium
Dairy,226,284,649,5,Medium
Bakery,46,363,405,1,Medium
Snacks,146,175,477,4,Medium
Bakery,80,357,389,1,Medium
Bakery,225,373,54,5,High
Dairy,168,174,563,1,High
Cooked Meal,18,346,636,1,Medium
Snacks,137,464,102,4,Medium
Packaged Food,205,475,140,4,Medium
Vegetables,66,65,521,4,Medium
Vegetables,89,140,308,1,Medium
Bakery,124,368,204,5,Medium
Bakery,214,461,395,4,Medium
Cooked Meal,227,269,432,4,Medium
Snacks,126,424,153,5,Medium
Fruits,217,190,194,2,High
Snacks,89,146,41,5,Medium
Cooked Meal,218,148,390,5,Medium
Bakery,84,47,91,5,Medium
Cooked Meal,84,443,417,1,High
Packaged Food,123,260,659,5,Medium
Dairy,197,363,658,5,Medium
Dairy,64,277,646,5,Medium
Cooked Meal,51,43,704,1,Medium
Bakery,161,67,692,2,Medium
Bakery,120,56,85,4,Medium
Bakery,248,292,587,5,Medium
Packaged Food,236,386,236,5,Medium
Bakery,30,324,462,2,Medium
Vegetables,225,440,580,2,High
Dairy,238,30,509,4,Medium
Vegetables,29,231,155,4,Medium
Fruits,181,193,483,5,Medium
Snacks,160,310,180,1,High
Cooked Meal,204,62,519,5,Medium
Dairy,139,189,79,5,High
Dairy,63,232,307,5,Medium
Packaged Food,175,477,93,5,Medium
Dairy,165,161,305,1,High
Bakery,122,153,448,5,Medium
Snacks,14,417,212,5,Medium
Cooked Meal,202,133,50,5,High
Bakery,157,436,176,1,High
Snacks,11,47,116,4,Low
Vegetables,149,265,307,5,Medium
Snacks,215,423,580,5,Medium
Cooked Meal,196,358,98,1,High
Fruits,133,356,432,4,Medium
Fruits,34,426,610,2,Medium
Bakery,77,59,599,4,Low
Packaged Food,113,39,349,5,Low
Bakery,126,348,385,5,Medium
Dairy,218,124,353,1,High
Cooked Meal,203,317,604,1,High
Vegetables,140,206,539,5,Medium
Bakery,130,419,119,4,Medium
Vegetables,121,420,302,5,Medium
Bakery,16,456,658,5,Medium
Dairy,162,381,597,5,Medium
Fruits,69,286,187,4,Medium
Cooked Meal,229,424,98,4,High
Snacks,228,262,673,4,Medium
Dairy,101,86,409,4,Medium
Dairy,149,142,268,1,High
Bakery,156,13,713,5,Medium
Bakery,189,381,128,4,Medium
Dairy,157,247,318,4,Medium
Fruits,113,416,228,5,Medium
Fruits,193,82,285,4,Medium
Vegetables,51,364,700,1,Medium
Bakery,246,391,314,5,Medium
Bakery,68,160,646,4,Medium
Cooked Meal,55,454,109,4,Medium
Snacks,13,37,509,4,Low
Bakery,211,153,696,4,Medium
Packaged Food,57,377,356,5,Medium
Cooked Meal,184,420,337,4,Medium
Dairy,45,479,648,1,Medium
Packaged Food,102,245,703,4,Medium
Fruits,106,84,618,4,Medium
Bakery,242,209,583,5,Medium
Snacks,93,103,167,5,Medium
Vegetables,244,101,84,4,High
Packaged Food,153,124,668,2,Medium
Fruits,216,107,224,2,High
Cooked Meal,178,416,630,2,High
Packaged Food,58,130,663,1,Medium
Cooked Meal,183,466,249,4,Medium
Packaged Food,94,253,379,2,Medium
Snacks,94,280,108,5,Medium
Vegetables,34,16,196,5,Low
Cooked Meal,222,153,644,4,Medium
Bakery,239,420,269,2,High
Vegetables,69,221,47,1,High
Vegetables,181,229,41,2,High
Vegetables,79,367,715,5,Medium
Packaged Food,173,400,117,5,Medium
Bakery,137,362,205,5,Medium
Snacks,80,239,286,2,Medium
Vegetables,26,199,334,5,Medium
Vegetables,79,480,75,4,High
Vegetables,160,51,578,4,Medium
Fruits,145,212,328,1,High
Bakery,195,116,471,5,Medium
Bakery,68,359,302,4,Medium
Dairy,177,189,531,5,Medium
Cooked Meal,32,236,619,4,Medium
Vegetables,198,400,441,5,Medium
Packaged Food,45,65,626,2,Medium
Vegetables,27,416,440,1,Medium
Snacks,142,463,111,4,Medium
Cooked Meal,61,134,701,5,Medium
Dairy,125,401,333,2,High
Cooked Meal,214,335,322,4,Medium
Fruits,18,145,184,5,Medium
Vegetables,70,242,333,5,Medium
Bakery,77,200,130,5,Medium
Fruits,178,208,644,2,High
Packaged Food,178,58,245,5,Low
Bakery,228,73,637,5,Medium
Bakery,196,142,72,5,High
Bakery,71,127,198,1,Medium
Dairy,106,301,557,4,Medium
Cooked Meal,158,468,357,5,Medium
Dairy,169,362,225,4,High
Dairy,164,9,572,5,Medium
Fruits,245,90,236,4,Medium
Vegetables,22,43,151,1,Medium
Bakery,29,401,153,5,Medium
Cooked Meal,171,476,298,1,High
Bakery,204,428,376,5,Medium
Fruits,202,58,359,4,Medium
Cooked Meal,240,142,73,5,High
